venue_id	title	issn_l
282504591522983936	1199 news. National Union of Hospital and Health Care Employees. District 1199	0012-6535
282504591522983937	20 century British history	0955-2359
282504591522983938	A & A case reports	2325-7237
282504591522983939	A&A practice	2575-3126
282504591522983940	AACN advanced critical care	1559-7768
282504591522983941	AACN clinical issues	1079-0713
282504591522983942	AACN clinical issues in critical care nursing	1046-7467
282504591522983943	AADE editors' journal	0160-6999
282504591522983944	AANA journal	0094-6354
282504591522983945	AANNT journal	0744-1479
282504591522983946	AAOHN journal : official journal of the American Association of Occupational Health Nurses	0891-0162
282504591522983947	AAPPO journal : the journal of the American Association of Preferred Provider Organizations	1054-5913
282504591522983948	The AAPS journal	1550-7416
282504591522983949	AAPS pharmSci	1522-1059
282504591522983950	AAPS PharmSciTech	1530-9932
282504591522983951	AARN news letter	0001-0197
282504591522983952	AAUP bulletin : quarterly publication of the American Association of University Professors	0001-026X
282504591522983953	AB bookman's weekly : for the specialist book world	0001-0340
282504591522983955	Abdominal imaging	0942-8925
282504591522983957	Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften	0174-870X
282504591522983958	The ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc	1046-7041
282504591522983961	Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	1069-6563
282504591522983962	Academy of Management journal. Academy of Management	0001-4273
282504591522983963	Academy of management review. Academy of Management	0363-7425
282504591522983964	Academic medicine : journal of the Association of American Medical Colleges	1040-2446
282504591522983965	The Academic nurse : the journal of the Columbia University School of Nursing	1062-0249
282504591522983966	Academic pediatrics	1876-2859
282504591522983967	Academia Peruana de Cirugía	0001-3854
282504591522983968	Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	1042-9670
282504591522983969	Academic radiology	1076-6332
282504591522983970	Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale	0008-0810
282504591522983971	Acarologia	0044-586X
282504591522983972	Accounts of chemical research	0001-4842
282504591522983974	Acção médica	0870-0311
282504591522983975	Accident; analysis and prevention	0001-4575
282504591522983976	Accident and emergency nursing	0965-2302
282504591522983977	Accountability in research	0898-9621
282504591522983978	ACP journal club	1056-8751
282504591522983979	Acquisitions médicales récentes	0075-4463
282504591522983981	Across the board	0147-1554
282504591522983982	ACS applied bio materials	2576-6422
282504591522983983	ACS applied materials & interfaces	1944-8244
282504591522983984	ACS biomaterials science & engineering	2373-9878
282504591522983985	ACS chemical biology	1554-8929
282504591522983986	ACS chemical neuroscience	1948-7193
282504591522983987	ACS combinatorial science	2156-8944
282504591522983988	ACS infectious diseases	2373-8227
282504591522983989	ACS macro letters	2161-1653
282504591522983990	ACS nano	1936-0851
282504591522983991	ACS sensors	2379-3694
282504591522983992	ACS synthetic biology	2161-5063
282504591522983993	Acta hepatologica	0365-2858
282504591522983994	Activitas nervosa superior	0001-7604
282504591522983995	Acta Academiae Medicinae Wuhan = Wu-han i hsüeh yüan hsüeh pao	0253-3316
282504591522983996	Acta allergologica	0001-5148
282504591522983997	Acta allergologica. Supplementum	0065-096X
282504591522983998	Acta anaesthesiologica	0001-5156
282504591522983999	Acta anaesthesiologica Belgica	0001-5164
282504591522984000	Acta anaesthesiologica Scandinavica	0001-5172
282504591522984001	Acta anaesthesiologica Scandinavica. Supplementum	0515-2720
282504591522984002	Acta anaesthesiologica Sinica	0254-1319
282504591522984004	Acta anatomica	0001-5180
282504591522984005	Acta anatomica. Supplementum	0365-0332
282504591522984006	Acta anthropogenetica	0258-0357
282504591522984008	Acta astronautica	0094-5765
282504591522984010	Acta Belgica. Medica physica : organe officiel de la Société royale belge de médecine physique et de réhabilitation	0771-5684
282504591522984012	Acta biochimica et biophysica Hungarica	0237-6261
282504591522984013	Acta biochimica et biophysica Sinica	1672-9145
282504591522984014	Acta biochimica Polonica	0001-527X
282504591522984015	Acta of bioengineering and biomechanics	1509-409X
282504591522984016	Acta biologica Academiae Scientiarum Hungaricae	0001-5288
282504591522984017	Acta biologiae experimentalis	0365-0820
282504591522984018	Acta biologica Hungarica	0236-5383
282504591522984019	Acta biologica et medica	0065-1087
282504591522984020	Acta biologica et medica Germanica	0001-5318
282504591522984021	Acta biomaterialia	1742-7061
282504591522984022	Acta bio-medica : Atenei Parmensis	0392-4203
282504591522984024	Acta biotheoretica	0001-5342
282504591522984025	Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a	0365-0766
282504591522984026	Acta cancerológica	1013-5545
282504591527178240	Acta cardiologica	0001-5385
282504591527178241	Acta cardiologica. Supplementum	0373-7934
282504591527178242	Acta chemica Scandinavica	0001-5393
282504591527178243	Acta chemica Scandinavica (Copenhagen, Denmark : 1989)	0904-213X
282504591527178244	Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	0302-4377
282504591527178245	Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	0302-4369
282504591527178246	Acta chimica Slovenica	1318-0207
282504591527178247	Acta chirurgica Academiae Scientiarum Hungaricae	0001-5431
282504591527178248	Acta chirurgica Belgica	0001-5458
282504591527178249	Acta chirurgica Hungarica	0231-4614
282504591527178250	Acta chirurgica Italica	0001-5466
282504591527178251	Acta chirurgica Iugoslavica	0354-950X
282504591527178252	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	0001-5415
282504591527178254	Acta chirurgiae plasticae	0001-5423
282504591527178255	Acta chirurgica Scandinavica	0001-5482
282504591527178256	Acta chirurgica Scandinavica. Supplementum	0301-1860
282504591527178257	Acta científica venezolana	0001-5504
282504591527178258	Acta cirúrgica brasileira	0102-8650
282504591527178259	Acta clinica Belgica	1784-3286
282504591527178260	Acta clinica Belgica. Supplementum	0567-7386
282504591527178261	Acta clinica Croatica	0353-9466
282504591527178262	Acta clínica odontológica : organo de difusion academica de Sociedad Antioqueña de Endodoncistas ... [et al.]	0120-9906
282504591527178263	Acta crystallographica	0365-110X
282504591527178264	Acta crystallographica. Section A, Foundations of crystallography	0108-7673
282504591527178265	Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography	0567-7394
